,setSize,redSquarePos,redSquareNumber,squareRecall,correctCount,trial
1,3,"[[-184.32, 184.32000000000002], [-184.32, -184.32000000000002], [184.32, 184.32000000000002]]","[0, 12, 3]","['0', '12', '3']",3,0
2,2,"[[-61.44, 61.44], [-61.44, 184.32000000000002]]","[5, 1]","['5', '1']",2,1
3,2,"[[-61.44, 184.32000000000002], [-184.32, 184.32000000000002]]","[1, 0]","['1', '0']",2,2
4,3,"[[-61.44, 61.44], [61.44, -61.44], [184.32, -184.32000000000002]]","[5, 10, 15]","['5', '10', '15']",3,3
