,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,subID,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,evLevel,evInd,runSize,strategy,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM
1,001,34.1,0.0,13.81,1.1431302599958144,2,['n'],1,0.0,1.5,15.0,2.0,16.0,0,0.019844082999043167,2.037420802997076,3.204208996001398,3.7198146430018824,4.720051422002143,1,1
2,001,50.95,0.0,23.65,0.11984413900063373,1,['v'],1,50.95,1.0,25.0,3.0,16.0,1,0.0163526219985215,2.032708876999095,2.1663960169971688,2.6829262919927714,3.6842150159936864,1,2
