,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,0.30720583199581597,2,['n'],1,53.17,1,0.04910401899542194,2.066703628996038,2.382908878993476,2.899692021004739,3.9010294530016836,1
