,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,subID,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,evLevel,evInd,runSize,strategy,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM
1,001,31.29,0.0,14.66,0.3343505420052679,1,['n'],0,14.66,1.0,15.0,2.0,5.0,0,0.027712971001164988,2.0440154840034666,2.3943682560056914,2.911362424012623,3.9126851380133303,1,1
2,"0    14.66
Name: outcome, dtype: float64",,,,,,,,,,,,,,,,,,,,
3,1.372143718676656,2.358421578343451,,,,,,,,,,,,,,,,,,,
4,001,34.84,0.0,12.42,1.1405305929947644,1,['v'],1,34.84,1.0,15.0,2.0,16.0,1,0.02697982000245247,2.0437596999981906,3.1938363399967784,3.709963222994702,4.711171759001445,1,2
5,"3    34.84
Name: outcome, dtype: float64",,,,,,,,,,,,,,,,,,,,
6,1.3000000000000003,2.506880027117631,,,,,,,,,,,,,,,,,,,
