,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,0.6804301700030919,2,['n'],1,53.17,1,0.034161884992499836,2.051738314999966,2.7516646919975756,3.2682334870041814,4.269481449999148,1
