,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,subID,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,evLevel,evInd,runSize,strategy,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM
1,001,0.0,0.0,9.58,0.29044831200735644,2,['v'],0,9.58,2.0,5.0,1.0,5.0,0,0.03139859699876979,2.0475005070038605,2.3479898869991302,2.864202380005736,3.8653839860053267,1,1
2,001,46.08,0.0,26.0,0.08951347299444024,1,['n'],0,26.0,1.0,25.0,3.0,16.0,1,0.03223831100331154,2.04820774399559,2.1490156990039395,2.6656652289966587,3.6669231900013983,1,2
