,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,0.27106735299457796,2,['v'],0,27.89,1,0.04895726399263367,2.066447684002924,2.3488852239970583,2.866075814003125,3.867389563994948,1
2,6.45,0,5.1,0.05459775199415162,2,['n'],1,0,1.5,6.549743095994927,8.565902439004276,8.632490340998629,9.150239075999707,10.151555981006823,2
3,28.16,0,17.05,0.27072436100570485,1,['v'],1,0,1,13.533776226002374,15.550331189006101,15.833288141002413,16.35020919100498,17.35122859000694,3
