,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,subID,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,evLevel,evInd,runSize,strategy,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM
1,001,37.84,0.0,0.0,0.290786878002109,2,['n'],1,0.0,1.0,15.0,2.0,16.0,0,0.014576203000615351,2.0323577880044468,2.3319125330017414,2.848127035991638,3.8493512050044956,1,1
2,001,50.56,0.0,24.58,0.21917948199552484,2,['n'],1,0.0,2.0,25.0,3.0,16.0,1,0.019859998996253125,2.0364777619979577,2.2700768069917103,2.7868909450044157,3.7881217090034625,1,2
