,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,subID,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,evLevel,evInd,runSize,strategy,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM
1,001,20.16,0.0,19.08,0.31057137199968565,1,['n'],0,19.08,1.0,15.0,2.0,5.0,0,0.020143059999099933,2.0369669850042555,2.370226115002879,2.8863825320004253,3.8877166390011553,1,1
2,001,49.6,0.0,24.66,0.24395447499409784,1,['v'],1,0.0,2.0,25.0,3.0,16.0,1,0.030782401008764282,2.0477957780094584,2.314128176003578,2.831398866008385,3.8327219010097906,1,2
