,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,0.11492980500042904,2,['v'],0,27.89,1,0.05515581199142616,2.0712675219983794,2.204962314994191,2.72148513198772,3.7227544169873,1
