,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,subID,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,evLevel,evInd,runSize,strategy,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM
1,001,12.71,0.0,3.68,0.26343441200151574,2,['n'],1,0.0,1.0,5.0,1.0,16.0,0,0.025072328993701376,2.040524889001972,2.3247294460015837,2.841247800999554,3.8414580940007,1,1
2,001,55.2,0.0,21.6,0.07197765100863762,1,['v'],1,0.0,2.0,25.0,3.0,5.0,1,0.022408157004974782,2.039767832000507,2.1222645250090864,2.639300897004432,3.640553927005385,1,2
