,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,subID,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,evLevel,evInd,runSize,strategy,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM
1,001,51.75,0.0,24.05,0.46737659399514087,1,['n'],0,24.05,1.0,25.0,3.0,5.0,0,0.048738316996605136,2.0656076559971552,2.5484443579916842,3.065871717990376,4.067093852994731,1,1
2,001,18.86,0.0,1.43,1.2513470400008373,1,['v'],1,18.86,1.5,5.0,1.0,16.0,1,0.019637525008874945,2.0370597200089833,3.3027027970092604,3.8200398900080472,4.821218401004444,1,2
