,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,0.29088021999632474,1,['n'],0,27.89,1,0.03750982899509836,2.05438263900578,2.354468760997406,2.8719050210056594,3.873205979994964,1
