,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,subID,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,evLevel,evInd,runSize,strategy,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM
1,001,6.6,0.0,6.82,0.5555894899880514,2,['v'],0,6.82,2.0,5.0,1.0,16.0,0,0.03787320799892768,2.0536830100027146,2.62159336800687,3.1376546480023535,4.138884084997699,1,1
2,001,3.28,0.0,7.64,NaN,2,,NaN,NaN,2.0,5.0,1.0,16.0,0,9.537549066997599,11.554957528001978,13.572059325000737,14.088543865000247,15.089807042008033,2,1
3,001,6.67,0.0,6.01,0.5662655199994333,2,['n'],1,6.67,1.0,5.0,1.0,16.0,0,16.038588680006796,18.055557728002896,18.63896470000327,19.1554711600038,20.156722932006232,3,1
4,001,10.79,0.0,3.85,0.8060905400052434,1,['v'],1,0.0,1.5,5.0,1.0,16.0,0,23.039110167999752,25.05604433300323,25.872610240010545,26.389432415002375,27.3907236619998,4,1
5,001,16.4,0.0,2.2,0.3629072769981576,2,['n'],1,16.4,1.0,5.0,1.0,16.0,0,29.53913152300811,31.55612306999683,31.939986878001946,32.45610608300194,33.45730784900661,5,1
6,001,7.25,0.0,5.74,NaN,1,,NaN,NaN,1.5,5.0,1.0,16.0,0,36.540091228001984,38.55696302000433,40.57412652300263,41.0900834799977,42.09060340900032,6,1
7,001,18.12,0.0,1.06,0.2237139819917502,1,['v'],1,18.12,1.5,5.0,1.0,16.0,0,43.540385975007666,45.55670678000024,45.7904997930018,46.306919340000604,47.308224070002325,7,1
8,001,5.02,0.0,7.51,0.32709873700514436,1,['n'],0,7.51,1.0,5.0,1.0,16.0,0,50.04043569500209,52.058077915004105,52.40753584000049,52.9241115800105,53.92536052200012,8,1
9,001,13.34,0.0,3.71,0.21952202799730003,2,['n'],1,13.34,2.0,5.0,1.0,16.0,0,57.5414210230083,59.557985022009234,59.79142227000557,60.30792791300337,61.309288545002346,9,1
10,001,0.0,0.0,9.84,0.4771206579898717,2,['v'],0,9.84,2.0,5.0,1.0,16.0,0,65.04163176000293,67.05898235499626,67.55836498001008,68.07564911000372,69.07668977000867,10,1
11,001,32.93,0.0,13.79,NaN,2,,NaN,NaN,2.0,15.0,2.0,5.0,1,0.031526817998383194,2.0495083650021115,4.065421057995991,4.582714513002429,5.583953968001879,1,2
12,001,30.61,0.0,14.04,0.2062571340065915,1,['n'],0,14.04,1.0,15.0,2.0,5.0,1,8.549629707995337,10.566080973003409,10.78266082299524,11.299536858001375,12.30085638500168,2,2
13,001,34.34,0.0,13.37,0.2449079799989704,1,['v'],1,0.0,2.0,15.0,2.0,5.0,1,16.049739959998988,18.067634912993526,18.333208134994493,18.84982186999696,19.85114876300213,3,2
14,001,26.78,0.0,16.35,0.7818497670086799,1,['n'],0,16.35,1.0,15.0,2.0,5.0,1,22.53420718999405,24.550915935004014,25.35034389499924,25.867611715002568,26.86892335799348,4,2
15,001,30.26,0.0,15.55,NaN,1,,NaN,NaN,1.0,15.0,2.0,5.0,1,29.033662084999378,31.051133644999936,33.06744642999547,33.584373025005334,34.58567741900333,5,2
16,001,7.1,0.0,6.79,NaN,2,,NaN,NaN,1.0,5.0,1.0,16.0,1,35.534863794993726,37.55188066800474,39.56775298800494,40.08473018500081,41.08597240000381,6,2
17,001,7.21,0.0,6.0,NaN,2,,NaN,NaN,1.0,5.0,1.0,16.0,1,42.03480152999691,44.05223347300489,46.06847691700386,46.58523152800626,47.586483492006664,7,2
18,001,5.52,0.0,6.28,NaN,2,,NaN,NaN,1.5,5.0,1.0,16.0,1,49.0355967929936,51.05234771000687,53.06912085499789,53.5861834899988,54.58750904399494,8,2
19,001,11.73,0.0,3.19,0.23810928499733564,1,['v'],1,0.0,1.5,5.0,1.0,16.0,1,56.03595637799299,58.05333800299559,58.30253724500653,58.81890217300679,59.82020300399745,9,2
20,001,9.53,0.0,6.03,0.26659822899091523,1,['n'],0,6.03,2.0,5.0,1.0,16.0,1,63.5360837180051,65.55347131000599,65.83703437300574,66.3536439229938,67.35487455000111,10,2
