,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,subID,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,evLevel,evInd,runSize,strategy,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM
1,001,51.59,0.0,24.53,0.39107916099601425,1,['n'],0,24.53,2.0,25.0,3.0,16.0,0,0.01979340500838589,2.0366762220073724,2.4364189920015633,2.952814535005018,3.9541240320104407,1,1
2,001,36.74,0.0,11.37,0.26953530000173487,1,['v'],1,0.0,1.0,15.0,2.0,5.0,1,0.023250954007380642,2.0402876540028956,2.3226185260136845,2.8399760810134467,3.841324554014136,1,2
