,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,0.8743038200045703,1,['v'],1,53.17,1,0.03809809099766426,2.054494825992151,2.937715855994611,3.4558361749950564,4.456983446987579,1
