,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,0.14471370200044475,1,['n'],0,27.89,1,0.045839048994821496,2.0627792940067593,2.2289379160065437,2.746024503998342,3.7472332760080462,1
2,6.45,0,5.1,0.3206088940059999,1,['v'],1,0,1.5,6.545480540997232,8.562481408996973,8.896214719003183,9.413123274003738,10.41445460599789,2
3,28.16,0,17.05,0.274013364003622,2,['n'],1,28.16,1,13.546283040996059,15.563702480998472,15.847617453997373,16.363791736002895,17.364989449997665,3
