,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,1.4018290340027306,2,['v'],0,27.89,1,0.04684840398840606,2.063138910991256,3.479737905989168,3.996619790996192,4.997493789996952,1
