,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,0.6448299100011354,2,['v'],0,27.89,1,0.042089267997653224,2.0594091359962476,2.7258896679995814,3.242897562988219,4.2441316609911155,1
