,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,subID,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,evLevel,evInd,runSize,strategy,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM
1,001,28.13,0.0,15.89,0.3033110959950136,1,['v'],1,0.0,1.0,15.0,2.0,16.0,0,0.026471910998225212,2.043718238986912,2.3593597359868,2.876756713987561,3.8771798399975523,1,1
2,001,32.05,0.0,13.91,0.26510475800023414,1,['v'],1,32.05,1.0,15.0,2.0,16.0,1,0.01980858300521504,2.0364110950031318,2.319291569001507,2.8367556480079656,3.8380444800131954,1,2
