,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,1.1209916740044719,1,['v'],1,0,1,0.03762499500589911,2.0547015570045915,3.1876921149960253,3.704568411994842,4.7058120209985645,1
