,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,0.23446034800144844,2,['v'],0,27.89,1,0.05414975200255867,2.070670266999514,2.3208389150095172,2.83747958499589,3.8387692749965936,1
2,6.45,0,5.1,0.549950311993598,2,['n'],1,6.45,1.5,6.554340410002624,8.58842363700387,9.154106861999026,9.670936342008645,10.671365652000532,2
3,28.16,0,17.05,0.3589966430008644,2,['n'],1,0,1,13.537710592005169,15.571992750003119,15.937837172008585,16.455248576996382,17.456585859996267,3
