,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,0.2645929900027113,2,['n'],1,0,1,0.04032355699746404,2.0581070369953522,2.3402359620085917,2.8568915000068955,3.858175918998313,1
