,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,NaN,1,,NaN,NaN,1,0.07979415499721654,2.095974580006441,4.113974505002261,4.629667807996157,5.630898083996726,1
2,6.45,0,5.1,0.015428478000103496,1,['n'],0,5.1,1.5,6.546175687995856,8.5627502950083,8.596245382999768,9.113457440005732,10.11477815899707,2
3,28.16,0,17.05,0.27393233399197925,1,['n'],0,17.05,1,13.54725874500582,15.563756892996025,15.846932904009009,16.36470433299837,17.364943157997914,3
