,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,0.257167320989538,1,['n'],0,27.89,1,0.07549545500660315,2.093050857001799,2.3597753570065834,2.8759368949977215,3.877269846998388,1
