,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,subID,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,evLevel,evInd,runSize,strategy,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM
1,001,47.44,0.0,27.24,0.2539066370081855,2,['v'],0,27.24,1.0,25.0,3.0,16.0,0,0.018862110999180004,2.0359585039986996,2.3025341860047774,2.8196860309981275,3.820917630000622,1,1
2,001,11.93,0.0,3.57,0.27728934699553065,2,['n'],1,0.0,2.0,5.0,1.0,16.0,1,0.021255833009490743,2.0384490080032265,2.338755143005983,2.8556355600012466,3.856915109005058,1,2
