,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,0.6124621890048729,1,['n'],0,27.89,1,0.038883554996573366,2.0558434650010895,2.6885675429948606,3.2056898279988673,4.206950787993264,1
