,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,subID,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,evLevel,evInd,runSize,strategy,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM
1,001,32.36,0.0,13.22,0.22924862398940604,1,['v'],1,0.0,1.5,15.0,2.0,16.0,0,0.03191630799847189,2.0485962749953615,2.299009362992365,2.815979398001218,3.8163001329958206,1,1
2,001,10.4,0.0,5.62,0.30510541700641625,2,['n'],1,0.0,1.0,5.0,1.0,16.0,1,0.02693001300212927,2.0446296330046607,2.3602745630050777,2.8774209249968408,3.878695263003465,1,2
