,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,5.0,1.0,5.0,0.5,1.5,7.11,0.0,5.95
1.0,5.0,1.0,5.0,0.5,2.0,9.48,0.0,5.44
2.0,5.0,1.0,5.0,0.5,1.0,12.98,0.0,3.53
3.0,5.0,1.0,5.0,0.5,2.0,7.38,0.0,6.65
4.0,5.0,1.0,5.0,0.5,1.0,6.34,0.0,6.97
5.0,25.0,3.0,16.0,0.5,2.0,40.12,0.0,30.06
6.0,25.0,3.0,16.0,0.5,1.0,50.82,0.0,24.71
7.0,25.0,3.0,16.0,0.5,1.0,47.43,0.0,25.54
8.0,25.0,3.0,16.0,0.5,1.0,50.48,0.0,25.38
9.0,25.0,3.0,16.0,0.5,1.0,53.64,0.0,23.86
10.0,25.0,3.0,16.0,0.5,2.0,51.65,0.0,24.84
11.0,25.0,3.0,16.0,0.5,1.5,53.64,0.0,23.86
12.0,25.0,3.0,16.0,0.5,2.0,53.74,0.0,23.63
13.0,25.0,3.0,16.0,0.5,1.0,48.37,0.0,25.45
14.0,25.0,3.0,16.0,0.5,1.0,40.42,0.0,29.21
15.0,25.0,3.0,16.0,0.5,1.0,47.51,0.0,25.3
16.0,25.0,3.0,16.0,0.5,1.5,44.78,0.0,27.39
17.0,25.0,3.0,16.0,0.5,1.0,40.12,0.0,30.06
18.0,25.0,3.0,16.0,0.5,1.5,52.87,0.0,24.32
19.0,25.0,3.0,16.0,0.5,1.0,53.38,0.0,23.17
20.0,25.0,3.0,16.0,0.5,2.0,56.64,0.0,21.32
21.0,15.0,2.0,5.0,0.5,1.5,26.5,0.0,16.49
22.0,15.0,2.0,5.0,0.5,1.0,29.96,0.0,14.84
23.0,15.0,2.0,5.0,0.5,2.0,31.89,0.0,14.96
24.0,15.0,2.0,5.0,0.5,2.0,29.54,0.0,15.19
25.0,15.0,2.0,5.0,0.5,1.5,21.8,0.0,18.9
26.0,5.0,1.0,16.0,0.5,1.5,8.81,0.0,5.39
27.0,5.0,1.0,16.0,0.5,1.0,4.64,0.0,7.32
28.0,5.0,1.0,16.0,0.5,2.0,9.98,0.0,4.57
29.0,5.0,1.0,16.0,0.5,1.0,13.78,0.0,3.37
30.0,5.0,1.0,16.0,0.5,1.0,12.29,0.0,3.47
31.0,5.0,1.0,16.0,0.5,1.0,9.86,0.0,5.07
32.0,5.0,1.0,16.0,0.5,1.0,15.46,0.0,1.73
33.0,5.0,1.0,16.0,0.5,1.5,8.27,0.0,6.25
34.0,5.0,1.0,16.0,0.5,1.0,12.03,0.0,4.47
35.0,5.0,1.0,16.0,0.5,1.5,10.9,0.0,4.75
36.0,5.0,1.0,16.0,0.5,1.5,5.42,0.0,6.71
37.0,5.0,1.0,16.0,0.5,1.0,11.61,0.0,3.98
