,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,15.0,2.0,5.0,0.5,1.5,27.75,0.0,15.99
1.0,15.0,2.0,5.0,0.5,1.0,40.46,0.0,0.0
2.0,15.0,2.0,5.0,0.5,2.0,33.46,0.0,13.49
3.0,15.0,2.0,5.0,0.5,2.0,40.46,0.0,10.23
4.0,15.0,2.0,5.0,0.5,1.0,25.34,0.0,16.67
5.0,5.0,1.0,5.0,0.5,1.0,7.78,0.0,6.85
6.0,5.0,1.0,5.0,0.5,1.0,16.14,0.0,2.07
7.0,5.0,1.0,5.0,0.5,1.5,9.05,0.0,5.51
8.0,5.0,1.0,5.0,0.5,2.0,5.56,0.0,6.78
9.0,5.0,1.0,5.0,0.5,1.5,18.32,0.0,1.16
10.0,25.0,3.0,5.0,0.5,1.0,54.28,0.0,22.14
11.0,25.0,3.0,5.0,0.5,1.0,47.12,0.0,27.08
12.0,25.0,3.0,5.0,0.5,2.0,52.83,0.0,24.02
13.0,25.0,3.0,5.0,0.5,1.5,49.82,0.0,25.05
14.0,25.0,3.0,5.0,0.5,1.5,50.93,0.0,23.64
15.0,5.0,1.0,16.0,0.5,2.0,7.78,0.0,6.85
16.0,5.0,1.0,16.0,0.5,2.0,20.36,0.0,0.18
17.0,5.0,1.0,16.0,0.5,1.0,10.82,0.0,5.55
18.0,5.0,1.0,16.0,0.5,1.0,1.12,0.0,8.56
19.0,5.0,1.0,16.0,0.5,1.0,7.87,0.0,5.48
20.0,5.0,1.0,16.0,0.5,2.0,13.44,0.0,3.2
21.0,5.0,1.0,16.0,0.5,1.0,9.61,0.0,6.07
22.0,5.0,1.0,16.0,0.5,1.5,18.74,0.0,0.37
23.0,5.0,1.0,16.0,0.5,1.5,5.8,0.0,6.7
24.0,5.0,1.0,16.0,0.5,1.0,0.36,0.0,10.18
25.0,5.0,1.0,16.0,0.5,1.0,16.78,0.0,1.39
26.0,5.0,1.0,16.0,0.5,2.0,8.91,0.0,6.28
27.0,5.0,1.0,16.0,0.5,1.0,10.28,0.0,5.56
28.0,5.0,1.0,16.0,0.5,1.5,6.6,0.0,6.54
29.0,5.0,1.0,16.0,0.5,1.5,12.52,0.0,3.02
30.0,5.0,1.0,16.0,0.5,1.0,10.28,0.0,5.56
31.0,15.0,2.0,16.0,0.5,1.0,30.18,0.0,15.79
32.0,15.0,2.0,16.0,0.5,1.5,24.58,0.0,17.29
33.0,15.0,2.0,16.0,0.5,1.0,29.46,0.0,15.15
34.0,15.0,2.0,16.0,0.5,1.5,23.4,0.0,17.7
35.0,15.0,2.0,16.0,0.5,1.5,33.0,0.0,12.7
36.0,15.0,2.0,16.0,0.5,1.5,30.38,0.0,14.49
37.0,15.0,2.0,16.0,0.5,1.5,32.11,0.0,14.23
38.0,15.0,2.0,16.0,0.5,1.5,40.46,0.0,10.23
39.0,15.0,2.0,16.0,0.5,1.0,33.46,0.0,13.49
40.0,15.0,2.0,16.0,0.5,1.0,28.01,0.0,15.55
41.0,15.0,2.0,16.0,0.5,1.0,40.46,0.0,10.23
42.0,15.0,2.0,16.0,0.5,1.0,30.6,0.0,15.16
43.0,15.0,2.0,16.0,0.5,1.0,30.78,0.0,15.53
44.0,15.0,2.0,16.0,0.5,1.0,32.77,0.0,13.99
45.0,15.0,2.0,16.0,0.5,1.5,29.46,0.0,15.15
46.0,15.0,2.0,16.0,0.5,1.0,32.11,0.0,14.23
47.0,25.0,3.0,16.0,0.5,1.5,40.32,0.0,30.16
48.0,25.0,3.0,16.0,0.5,1.5,43.32,0.0,27.66
49.0,25.0,3.0,16.0,0.5,1.5,53.12,0.0,23.04
50.0,25.0,3.0,16.0,0.5,2.0,45.98,0.0,26.99
51.0,25.0,3.0,16.0,0.5,1.0,53.08,0.0,23.3
52.0,25.0,3.0,16.0,0.5,1.5,49.98,0.0,25.69
53.0,25.0,3.0,16.0,0.5,1.0,46.28,0.0,26.1
54.0,25.0,3.0,16.0,0.5,1.5,42.16,0.0,28.08
55.0,25.0,3.0,16.0,0.5,1.0,51.53,0.0,24.78
56.0,25.0,3.0,16.0,0.5,1.0,56.5,0.0,22.25
57.0,25.0,3.0,16.0,0.5,1.0,48.37,0.0,26.3
58.0,25.0,3.0,16.0,0.5,2.0,48.39,0.0,25.18
59.0,25.0,3.0,16.0,0.5,2.0,56.5,0.0,0.0
60.0,25.0,3.0,16.0,0.5,1.5,56.5,0.0,22.25
61.0,25.0,3.0,16.0,0.5,1.0,50.4,0.0,24.5
62.0,25.0,3.0,16.0,0.5,2.0,46.63,0.0,25.99
63.0,15.0,2.0,5.0,0.5,1.5,35.2,0.0,11.6
64.0,15.0,2.0,5.0,0.5,1.0,28.41,0.0,15.47
65.0,15.0,2.0,5.0,0.5,1.0,26.3,0.0,16.67
66.0,15.0,2.0,5.0,0.5,1.0,22.88,0.0,19.44
67.0,15.0,2.0,5.0,0.5,1.0,27.26,0.0,16.87
68.0,5.0,1.0,5.0,0.5,1.0,18.32,0.0,1.16
69.0,5.0,1.0,5.0,0.5,1.5,1.12,0.0,8.56
70.0,5.0,1.0,5.0,0.5,2.0,18.32,0.0,1.16
71.0,5.0,1.0,5.0,0.5,2.0,10.69,0.0,3.8
72.0,5.0,1.0,5.0,0.5,1.0,6.6,0.0,6.54
73.0,25.0,3.0,5.0,0.5,1.0,45.98,0.0,26.99
74.0,25.0,3.0,5.0,0.5,1.0,45.98,0.0,26.99
75.0,25.0,3.0,5.0,0.5,1.0,51.89,0.0,24.4
76.0,25.0,3.0,5.0,0.5,1.5,43.32,0.0,27.66
77.0,25.0,3.0,5.0,0.5,1.5,49.05,0.0,26.35
78.0,5.0,1.0,16.0,0.5,1.0,6.99,0.0,5.89
79.0,5.0,1.0,16.0,0.5,1.5,20.36,0.0,0.18
80.0,5.0,1.0,16.0,0.5,2.0,8.91,0.0,6.28
81.0,5.0,1.0,16.0,0.5,1.0,9.05,0.0,5.51
82.0,5.0,1.0,16.0,0.5,2.0,10.82,0.0,5.55
83.0,5.0,1.0,16.0,0.5,1.0,4.18,0.0,8.09
84.0,5.0,1.0,16.0,0.5,1.0,5.56,0.0,6.78
85.0,5.0,1.0,16.0,0.5,1.0,7.97,0.0,6.66
86.0,5.0,1.0,16.0,0.5,1.0,9.61,0.0,6.07
87.0,5.0,1.0,16.0,0.5,1.0,18.74,0.0,0.37
88.0,5.0,1.0,16.0,0.5,2.0,11.13,0.0,3.74
89.0,5.0,1.0,16.0,0.5,1.5,9.61,0.0,6.07
90.0,5.0,1.0,16.0,0.5,2.0,13.44,0.0,3.2
91.0,5.0,1.0,16.0,0.5,2.0,9.44,0.0,5.42
92.0,5.0,1.0,16.0,0.5,1.0,18.32,0.0,1.16
93.0,5.0,1.0,16.0,0.5,1.5,6.6,0.0,6.54
94.0,15.0,2.0,16.0,0.5,1.0,34.3,0.0,12.15
95.0,15.0,2.0,16.0,0.5,2.0,28.19,0.0,15.08
96.0,15.0,2.0,16.0,0.5,1.0,26.63,0.0,15.99
97.0,15.0,2.0,16.0,0.5,2.0,21.68,0.0,19.84
98.0,15.0,2.0,16.0,0.5,1.0,39.8,0.0,10.9
99.0,15.0,2.0,16.0,0.5,1.0,33.54,0.0,13.81
100.0,15.0,2.0,16.0,0.5,2.0,33.0,0.0,12.7
101.0,15.0,2.0,16.0,0.5,1.5,31.22,0.0,15.19
102.0,15.0,2.0,16.0,0.5,2.0,32.11,0.0,14.23
103.0,15.0,2.0,16.0,0.5,1.5,21.68,0.0,19.84
104.0,15.0,2.0,16.0,0.5,1.5,30.18,0.0,15.79
105.0,15.0,2.0,16.0,0.5,1.5,32.58,0.0,12.77
106.0,15.0,2.0,16.0,0.5,1.0,30.18,0.0,15.79
107.0,15.0,2.0,16.0,0.5,1.0,26.3,0.0,16.67
108.0,15.0,2.0,16.0,0.5,1.0,22.02,0.0,18.01
109.0,15.0,2.0,16.0,0.5,1.0,27.75,0.0,15.99
110.0,25.0,3.0,16.0,0.5,2.0,53.66,0.0,23.03
111.0,25.0,3.0,16.0,0.5,2.0,53.0,0.0,22.5
112.0,25.0,3.0,16.0,0.5,2.0,48.39,0.0,25.18
113.0,25.0,3.0,16.0,0.5,1.5,57.92,0.0,21.96
114.0,25.0,3.0,16.0,0.5,1.5,56.5,0.0,22.25
115.0,25.0,3.0,16.0,0.5,1.5,50.93,0.0,23.64
116.0,25.0,3.0,16.0,0.5,1.5,41.2,0.0,28.6
117.0,25.0,3.0,16.0,0.5,2.0,51.05,0.0,24.26
118.0,25.0,3.0,16.0,0.5,1.5,57.08,0.0,20.54
119.0,25.0,3.0,16.0,0.5,1.0,47.22,0.0,26.85
120.0,25.0,3.0,16.0,0.5,2.0,53.66,0.0,23.03
121.0,25.0,3.0,16.0,0.5,1.5,60.22,0.0,20.11
122.0,25.0,3.0,16.0,0.5,1.0,50.93,0.0,23.64
123.0,25.0,3.0,16.0,0.5,2.0,46.28,0.0,26.1
124.0,25.0,3.0,16.0,0.5,1.0,47.12,0.0,27.08
125.0,25.0,3.0,16.0,0.5,2.0,48.19,0.0,26.49
126.0,15.0,2.0,5.0,0.5,1.0,27.91,0.0,15.78
127.0,15.0,2.0,5.0,0.5,1.0,24.58,0.0,17.29
128.0,15.0,2.0,5.0,0.5,1.0,40.46,0.0,10.23
129.0,15.0,2.0,5.0,0.5,1.0,33.46,0.0,13.49
130.0,15.0,2.0,5.0,0.5,1.5,30.38,0.0,14.49
