,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,0.19909255699894857,2,['n'],1,0,1,0.041153959988150746,2.0569536559924018,2.27484717698826,2.790233495994471,3.7913992179965135,1
2,6.45,0,5.1,0.2376619930000743,2,['v'],0,5.1,1.5,6.522195145997102,8.538605309993727,8.789338249000139,9.305175192988827,10.306354682994424,2
3,28.16,0,17.05,0.31985604199871887,1,['n'],0,17.05,1,13.520067608988029,15.536668495988124,15.870826693993877,16.386172312995768,17.38736814299773,3
