,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,25.0,3.0,5.0,0.5,1.0,51.25,0.0,24.64
1.0,25.0,3.0,5.0,0.5,1.0,56.74,0.0,22.37
2.0,25.0,3.0,5.0,0.5,1.0,51.5,0.0,25.05
3.0,25.0,3.0,5.0,0.5,1.0,45.6,0.0,26.6
4.0,25.0,3.0,5.0,0.5,1.5,49.3,0.0,24.51
5.0,15.0,2.0,16.0,0.5,2.0,26.28,0.0,17.14
6.0,15.0,2.0,16.0,0.5,1.5,33.3,0.0,12.85
7.0,15.0,2.0,16.0,0.5,1.0,29.27,0.0,15.9
8.0,15.0,2.0,16.0,0.5,1.5,30.2,0.0,15.24
9.0,15.0,2.0,16.0,0.5,1.0,28.73,0.0,15.91
10.0,15.0,2.0,16.0,0.5,2.0,31.77,0.0,14.06
11.0,15.0,2.0,16.0,0.5,1.0,31.44,0.0,15.02
12.0,15.0,2.0,16.0,0.5,1.0,36.72,0.0,12.36
13.0,15.0,2.0,16.0,0.5,1.5,28.73,0.0,15.91
14.0,15.0,2.0,16.0,0.5,1.5,32.11,0.0,13.38
15.0,15.0,2.0,16.0,0.5,1.5,26.46,0.0,16.75
16.0,15.0,2.0,16.0,0.5,2.0,30.75,0.0,14.39
17.0,15.0,2.0,16.0,0.5,2.0,28.73,0.0,15.91
18.0,15.0,2.0,16.0,0.5,2.0,28.19,0.0,15.92
19.0,15.0,2.0,16.0,0.5,1.0,35.84,0.0,0.0
20.0,15.0,2.0,16.0,0.5,2.0,31.44,0.0,15.02
21.0,25.0,3.0,16.0,0.5,1.0,56.18,0.0,21.09
22.0,25.0,3.0,16.0,0.5,1.0,52.23,0.0,24.0
23.0,25.0,3.0,16.0,0.5,2.0,42.4,0.0,29.2
24.0,25.0,3.0,16.0,0.5,1.0,56.18,0.0,21.09
25.0,25.0,3.0,16.0,0.5,1.0,53.4,0.0,23.46
26.0,25.0,3.0,16.0,0.5,1.5,49.04,0.0,25.22
27.0,25.0,3.0,16.0,0.5,1.0,49.3,0.0,24.51
28.0,25.0,3.0,16.0,0.5,1.5,53.24,0.0,23.66
29.0,25.0,3.0,16.0,0.5,1.0,45.96,0.0,26.22
30.0,25.0,3.0,16.0,0.5,1.0,47.85,0.0,26.32
31.0,25.0,3.0,16.0,0.5,2.0,49.9,0.0,25.37
32.0,25.0,3.0,16.0,0.5,1.0,57.6,0.0,20.8
33.0,25.0,3.0,16.0,0.5,2.0,57.6,0.0,20.8
34.0,25.0,3.0,16.0,0.5,1.0,52.47,0.0,24.69
35.0,25.0,3.0,16.0,0.5,2.0,52.78,0.0,22.87
36.0,25.0,3.0,16.0,0.5,1.0,50.44,0.0,24.8
37.0,5.0,1.0,5.0,0.5,1.0,13.04,0.0,2.52
38.0,5.0,1.0,5.0,0.5,1.5,16.72,0.0,1.36
39.0,5.0,1.0,5.0,0.5,1.5,16.72,0.0,1.36
40.0,5.0,1.0,5.0,0.5,1.0,18.8,0.0,1.4
41.0,5.0,1.0,5.0,0.5,1.5,9.78,0.0,4.19
42.0,15.0,2.0,5.0,0.5,2.0,30.2,0.0,15.24
43.0,15.0,2.0,5.0,0.5,2.0,25.86,0.0,16.17
44.0,15.0,2.0,5.0,0.5,1.5,29.16,0.0,14.44
45.0,15.0,2.0,5.0,0.5,1.5,29.16,0.0,14.44
46.0,15.0,2.0,5.0,0.5,1.0,32.88,0.0,13.48
47.0,5.0,1.0,16.0,0.5,1.5,14.78,0.0,3.59
48.0,5.0,1.0,16.0,0.5,1.5,8.94,0.0,5.17
49.0,5.0,1.0,16.0,0.5,1.0,13.88,0.0,3.98
50.0,5.0,1.0,16.0,0.5,1.5,6.2,0.0,6.06
51.0,5.0,1.0,16.0,0.5,1.5,5.92,0.0,6.96
52.0,5.0,1.0,16.0,0.5,1.5,7.07,0.0,5.93
53.0,5.0,1.0,16.0,0.5,1.0,12.03,0.0,4.19
54.0,5.0,1.0,16.0,0.5,1.0,9.78,0.0,4.19
55.0,5.0,1.0,16.0,0.5,2.0,7.53,0.0,5.31
56.0,5.0,1.0,16.0,0.5,1.0,16.26,0.0,2.13
57.0,5.0,1.0,16.0,0.5,1.0,13.11,0.0,4.44
58.0,5.0,1.0,16.0,0.5,1.0,12.68,0.0,3.1
59.0,5.0,1.0,16.0,0.5,2.0,0.28,0.0,10.14
60.0,5.0,1.0,16.0,0.5,1.5,7.07,0.0,5.93
61.0,5.0,1.0,16.0,0.5,1.5,11.85,0.0,3.25
62.0,5.0,1.0,16.0,0.5,1.0,5.9,0.0,7.95
63.0,25.0,3.0,5.0,0.5,1.0,44.52,0.0,28.26
64.0,25.0,3.0,5.0,0.5,1.5,51.89,0.0,24.12
65.0,25.0,3.0,5.0,0.5,1.0,46.32,0.0,27.16
66.0,25.0,3.0,5.0,0.5,1.0,50.44,0.0,24.8
67.0,25.0,3.0,5.0,0.5,1.0,42.4,0.0,29.2
68.0,15.0,2.0,16.0,0.5,1.0,26.28,0.0,17.14
69.0,15.0,2.0,16.0,0.5,1.0,31.57,0.0,14.52
70.0,15.0,2.0,16.0,0.5,1.5,28.81,0.0,15.39
71.0,15.0,2.0,16.0,0.5,1.5,31.44,0.0,15.02
72.0,15.0,2.0,16.0,0.5,1.5,31.77,0.0,14.06
73.0,15.0,2.0,16.0,0.5,1.5,28.81,0.0,15.39
74.0,15.0,2.0,16.0,0.5,2.0,36.72,0.0,12.36
75.0,15.0,2.0,16.0,0.5,1.0,29.27,0.0,15.9
76.0,15.0,2.0,16.0,0.5,1.0,32.88,0.0,13.48
77.0,15.0,2.0,16.0,0.5,2.0,25.86,0.0,16.17
78.0,15.0,2.0,16.0,0.5,1.0,31.44,0.0,15.02
79.0,15.0,2.0,16.0,0.5,1.0,39.86,0.0,10.93
80.0,15.0,2.0,16.0,0.5,2.0,29.62,0.0,15.51
81.0,15.0,2.0,16.0,0.5,1.5,36.72,0.0,12.36
82.0,15.0,2.0,16.0,0.5,2.0,29.26,0.0,15.05
83.0,15.0,2.0,16.0,0.5,1.0,25.86,0.0,16.17
84.0,25.0,3.0,16.0,0.5,1.5,41.28,0.0,29.64
85.0,25.0,3.0,16.0,0.5,1.5,49.3,0.0,24.51
86.0,25.0,3.0,16.0,0.5,2.0,49.99,0.0,25.98
87.0,25.0,3.0,16.0,0.5,1.0,53.4,0.0,23.46
88.0,25.0,3.0,16.0,0.5,1.0,56.18,0.0,0.0
89.0,25.0,3.0,16.0,0.5,1.0,49.04,0.0,25.22
90.0,25.0,3.0,16.0,0.5,2.0,47.1,0.0,26.51
91.0,25.0,3.0,16.0,0.5,2.0,44.08,0.0,27.04
92.0,25.0,3.0,16.0,0.5,1.0,57.6,0.0,20.8
93.0,25.0,3.0,16.0,0.5,1.0,41.28,0.0,29.64
94.0,25.0,3.0,16.0,0.5,1.0,46.93,0.0,25.58
95.0,25.0,3.0,16.0,0.5,1.5,49.04,0.0,25.22
96.0,25.0,3.0,16.0,0.5,1.5,44.08,0.0,27.04
97.0,25.0,3.0,16.0,0.5,1.5,53.24,0.0,23.66
98.0,25.0,3.0,16.0,0.5,1.0,51.25,0.0,24.64
99.0,25.0,3.0,16.0,0.5,2.0,49.53,0.0,26.03
100.0,5.0,1.0,5.0,0.5,1.0,3.12,0.0,7.56
101.0,5.0,1.0,5.0,0.5,2.0,10.61,0.0,3.76
102.0,5.0,1.0,5.0,0.5,2.0,10.72,0.0,4.94
103.0,5.0,1.0,5.0,0.5,1.0,16.72,0.0,1.36
104.0,5.0,1.0,5.0,0.5,1.5,13.11,0.0,4.44
105.0,15.0,2.0,5.0,0.5,2.0,22.28,0.0,19.14
106.0,15.0,2.0,5.0,0.5,1.0,29.62,0.0,15.51
107.0,15.0,2.0,5.0,0.5,1.5,37.26,0.0,11.63
108.0,15.0,2.0,5.0,0.5,1.0,34.8,0.0,13.4
109.0,15.0,2.0,5.0,0.5,2.0,26.46,0.0,16.75
110.0,5.0,1.0,16.0,0.5,1.5,14.78,0.0,3.59
111.0,5.0,1.0,16.0,0.5,1.5,9.62,0.0,5.23
112.0,5.0,1.0,16.0,0.5,1.0,19.6,0.0,0.8
113.0,5.0,1.0,16.0,0.5,1.0,7.36,0.0,7.2
114.0,5.0,1.0,16.0,0.5,1.5,9.69,0.0,6.11
115.0,5.0,1.0,16.0,0.5,1.0,13.04,0.0,2.52
116.0,5.0,1.0,16.0,0.5,1.5,19.8,0.0,0.0
117.0,5.0,1.0,16.0,0.5,1.0,13.88,0.0,3.98
118.0,5.0,1.0,16.0,0.5,1.0,12.68,0.0,3.1
119.0,5.0,1.0,16.0,0.5,1.0,16.72,0.0,1.36
120.0,5.0,1.0,16.0,0.5,1.0,13.88,0.0,3.98
121.0,5.0,1.0,16.0,0.5,1.0,7.53,0.0,5.31
122.0,5.0,1.0,16.0,0.5,2.0,13.04,0.0,2.52
123.0,5.0,1.0,16.0,0.5,2.0,12.03,0.0,4.19
124.0,5.0,1.0,16.0,0.5,1.0,10.0,0.0,5.14
