,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,5.0,1.0,16.0,0.5,1.0,9.29,0.0,5.91
1.0,5.0,1.0,16.0,0.5,1.0,12.79,0.0,4.57
2.0,5.0,1.0,16.0,0.5,1.0,3.64,0.0,7.82
3.0,5.0,1.0,16.0,0.5,1.5,11.01,0.0,3.96
4.0,5.0,1.0,16.0,0.5,1.0,6.96,0.0,7.28
5.0,5.0,1.0,16.0,0.5,1.0,18.72,0.0,1.36
6.0,5.0,1.0,16.0,0.5,1.0,11.02,0.0,5.37
7.0,5.0,1.0,16.0,0.5,1.5,0.5,0.0,10.25
8.0,5.0,1.0,16.0,0.5,1.0,9.98,0.0,4.57
9.0,5.0,1.0,16.0,0.5,1.0,7.76,0.0,6.84
10.0,5.0,1.0,16.0,0.5,1.5,15.26,0.0,2.63
11.0,5.0,1.0,16.0,0.5,1.5,7.2,0.0,6.84
12.0,5.0,1.0,16.0,0.5,2.0,7.79,0.0,6.01
13.0,5.0,1.0,16.0,0.5,1.0,18.72,0.0,1.36
14.0,5.0,1.0,16.0,0.5,1.0,7.29,0.0,6.32
15.0,5.0,1.0,16.0,0.5,1.5,7.29,0.0,6.32
16.0,25.0,3.0,5.0,0.5,1.0,56.42,0.0,21.21
17.0,25.0,3.0,5.0,0.5,1.0,54.34,0.0,23.17
18.0,25.0,3.0,5.0,0.5,2.0,45.72,0.0,26.38
19.0,25.0,3.0,5.0,0.5,1.5,49.28,0.0,25.34
20.0,25.0,3.0,5.0,0.5,1.0,46.32,0.0,26.12
21.0,15.0,2.0,16.0,0.5,1.0,27.95,0.0,15.24
22.0,15.0,2.0,16.0,0.5,1.0,32.76,0.0,12.86
23.0,15.0,2.0,16.0,0.5,1.0,30.12,0.0,14.92
24.0,15.0,2.0,16.0,0.5,1.0,36.58,0.0,0.0
25.0,15.0,2.0,16.0,0.5,1.0,37.1,0.0,10.55
26.0,15.0,2.0,16.0,0.5,1.5,28.15,0.0,15.62
27.0,15.0,2.0,16.0,0.5,1.0,25.32,0.0,17.66
28.0,15.0,2.0,16.0,0.5,1.0,33.1,0.0,12.55
29.0,15.0,2.0,16.0,0.5,1.0,33.1,0.0,12.55
