,setSize,redSquarePos,redSquareNumber,squareRecall,correctCount,trial
1,2,"[[184.32, -184.32000000000002], [-184.32, 61.44]]","[15, 4]","['15', '4']",2,0
2,3,"[[184.32, 61.44], [-184.32, -184.32000000000002], [-184.32, 184.32000000000002]]","[7, 12, 0]","['7', '12', '*']",2,1
3,2,"[[184.32, 184.32000000000002], [-184.32, -61.44]]","[3, 8]","['*', '8', '9']",1,2
4,3,"[[-184.32, -184.32000000000002], [-61.44, 184.32000000000002], [-61.44, -184.32000000000002]]","[12, 1, 13]","['12', '1', '13']",3,3
