,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,0.19724865999887697,1,['v'],1,0,1,0.03470987800392322,2.0507061639946187,2.26693552499637,2.783571616993868,3.7847620579996146,1
2,6.45,0,5.1,0.28116371999203693,1,['v'],1,6.45,1.5,6.532394868001575,8.551093165995553,8.849367702001473,9.36483725400467,10.366042905996437,2
3,28.16,0,17.05,0.23795206600334495,1,['n'],0,17.05,1,13.530024634994334,15.546161104997736,15.796156484997482,16.31258651999815,17.313795731999562,3
