,setSize,redSquarePos,redSquareNumber,squareRecall,correctCount,trial
1,3,"[[-184.32, 184.32000000000002], [-184.32, -184.32000000000002], [61.44, 184.32000000000002]]","[0, 12, 2]","['0', '12', '2']",3,0
2,2,"[[-184.32, 184.32000000000002], [61.44, 61.44]]","[0, 6]","['0', '6']",2,1
3,3,"[[184.32, 61.44], [61.44, -61.44], [184.32, 184.32000000000002]]","[7, 10, 3]","['7', '10', '3']",3,2
4,2,"[[-61.44, 61.44], [-184.32, -61.44]]","[5, 8]","['5', '8']",2,3
